,Player,Position,YRS,AVG Salary,Dollars
235,Edward Mujica,RP,,,
236,Jarrod Saltalamacchia,C,,,
237,Peter Moylan,RP,,,
238,Nick Tepesch,SP,,,
239,Matt Holliday,OF,,,
240,Aristides Aquino,RF,,,
241,Sam Howard,RP,,,
242,Junichi Tazawa,RP,,,
243,Jose Torres,RP,,,
244,Ramon Torres,SS,,,
245,Jhonatan Solano,C,,,
246,Rhiner Cruz,RP,,,
247,Miguel Gomez,3B,,,
248,Casey Kelly,SP,,,
249,Randall Delgado,RP,,,
250,Chris Tillman,SP,,,
251,Erik Goeddel,RP,,,
252,Jabari Blash,LF,,,
253,Justin Haley,RP,,,
254,Pierce Johnson,RP,,,
255,Alexi Ogando,RP,,,
256,Justin Hancock,RP,,,
257,Brandon Phillips,2B,,,
258,Manny Parra,RP,,,
259,Jacob Turner,RP,,,
260,Jose Bautista,RF,,,
261,Ross Detwiler,SP,,,
262,George Kontos,RP,,,
263,Matt Belisle,RP,,,
264,Austin Jackson,CF,,,
265,Santiago Casilla,RP,,,
266,Clay Rapada,RF,,,
267,Cesar Ramos,RP,,,
268,Chris Nelson,3B,,,
269,Jason Bourgeois,LF,,,
270,Luis Perez,RP,,,
271,James Russell,RP,,,
272,Brian Schlitter,RP,,,
273,Nick Hagadone,RP,,,
274,Jim Henderson,RP,,,
275,Neftali Feliz,RP,,,
276,Brayan Pena,C,,,
277,Samir Duenez,1B,,,
278,Shawn Tolleson,RP,,,
279,Pedro Beato,RP,,,
280,Mike Baxter,LF,,,
281,Chris Young,RP,,,
282,Cesar Jimenez,RP,,,
283,Darin Downs,RP,,,
284,Andy LaRoche,3B,,,
285,Tommy Joseph,1B,,,
286,Conor Gillaspie,3B,,,
287,Adam Loewen,RP,,,
288,Jordan Schafer,CF,,,
289,Mike McCoy,RF,,,
290,Daniel McCutchen,RP,,,
291,Carlos Corporan,C,,,
292,Bryan Morris,RP,,,
293,Jo-Jo Reyes,SP,,,
294,Chris Parmelee,1B,,,
295,Hanley Ramirez,1B,,,
296,Ryan Perry,RP,,,
297,Luke Putkonen,RP,,,
298,,,213.0,"$6,874,155","$1,464,195,000"
